Independen,Independence of Error
Homogeneity of variances,variance,same variance,Homogeneity,equal variance,sphericity,homoscedasticity,Constant variance
Normal,gaussian,bell curve,normal error,Multivariate normality
interval,ratio
Homoscedasticity
no outliers,outliers
ordinal
no multicollinearity
linearity
linearity of independent variable,linearity of log odds
